location,bedrooms,Bathrooms,area,carpet_area,ownership,sale_type,age_of_the_property,plot_type,floor,Furnishing,Status,Facing,Actual_Price
West Mambalam,3,3,1450,1100,Builder,New,0 to 5 years,Builder Floors,1,Unfurnished,Upcoming,East,11102110
Perugundi,3,3,1277,1530,Agent,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,13738886
Mylapore,2,2,600,480,Individual,New,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,South,3182774
Thiruvanmiyur,4,4,2935,2869,Individual,New,New Construction,Builder Floors,1,Furnished,Ready to Move,East,44033046
Thiruvalluvar Nagar,4,4,2710,2168,Individual,New,New Construction,Builder Floors,2,Furnished,Ready to Move,North,38690221
Adambakkam Thiruvallur Nagar,4,4,2710,2168,Individual,New,New Construction,Builder Floors,1,Furnished,Ready to Move,North,81190789
Saidapet,2,2,770,733,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,5221069
Perambur,2,2,1800,828,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,East,13395467
Perumbakkam,3,2,1427,1142,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,7985529
Nanmangalam,2,2,876,800,Individual,New,Under Construction,Builder Floors,2,Semi-Furnished,Under Construction,North,5954216
Urapakkam,2,2,1106,640,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,5151739
Manapakkam,2,2,964,621,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,5881522
Chrompet,2,2,820,805,Individual,New,New Construction,Builder Floors,2,Unfurnished,Ready to Move,East,4351205
Kovur,2,2,1032,880,Builder,New,New Construction,Builder Floors,1,Furnished,Ready to Move,South,6955856
Pallikaranai,2,2,1161,871,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,West,7245725
Varadharajapuram,1,1,610,595,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,South,4375952
Sreeperamadur,2,2,1200,960,Builder,New,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,6029818
Oragadam,1,1,507,392,Builder,New,Under Construction,Builder Floors,1,Semi-Furnished,Ready to Move,East,2794122
Kolathur,3,2,2500,2135,Individual,New,New Construction,Builder Floors,1,Semi-Furnished,Ready to Move,North,22646902
Avadi,4,2,1200,1100,Individual,Resale,5 to 10 years,Builder Floors,1,Unfurnished,Ready to Move,West,12045013
Perambur,1,1,560,330,Builder,New,10 to 15 years,Builder Floors,2,Furnished,Ready to Move,North,3551736
Tondiarpet,2,2,1500,800,Builder,New,New Construction,Builder Floors,1,Furnished,Ready to Move,North,9033356
Omr,2,2,954,81500,Individual,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,7206512
Mogappair East,3,3,2200,1020,Individual,New,5 to 10 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,14043355
Thoraipakkam,2,2,1225,780,Individual,New,New Construction,Builder Floors,2,Semi-Furnished,Ready to Move,West,11752061
Kolapakkam,2,2,749,627,Builder,New,New Construction,Builder Floors,1,Semi-Furnished,Ready to Move,East,3949922
Keelkattalai,3,2,1270,1000,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,7273809
Kavankarai,3,2,1308,1046,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,East,7535662
Pallikaranai,4,3,1800,2000,Individual,Resale,5 to 10 years,Builder Floors,2,Furnished,Ready to Move,West,17886008
Kattupakkam,2,2,900,900,Individual,Resale,New Construction,Builder Floors,1,Furnished,Ready to Move,South,5505685
Virugambakkam,3,3,1329,1100,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,North,8975912
Kolathur,1,1,598,389,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,3375915
Thiruvanmiyur,2,2,700,604,Builder,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,East,4140582
Thoraipakkam,2,2,1092,780,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,6594369
Adambakkam,2,2,857,750,Individual,Resale,15 to 20 years,Builder Floors,1,Unfurnished,Ready to Move,East,6259405
Nandanam,3,3,1200,825,Individual,Resale,Above 20 years,Builder Floors,2,Furnished,Ready to Move,South,7344826
Oragadam,3,2,1158,1349,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,7132021
Chembarambakkam,2,1,480,480,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,2680011
K Nagar,2,2,600,592,Individual,Resale,15 to 20 years,Builder Floors,1,Semi-Furnished,Ready to Move,South,3486399
Porur,2,2,808,646,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,4472976
Omr,3,2,1572,1301,Builder,New,New Construction,Builder Floors,2,Unfurnished,Ready to Move,North,19258694
Guduvancheri,2,2,869,780,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,4665692
Madanandapuram,2,2,786,776,Individual,Resale,0 to 5 years,Builder Floors,2,Semi-Furnished,Ready to Move,North,4211594
Medavakkam,2,2,825,712,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,3807981
Virugambakkam,2,2,756,618,Individual,Resale,10 to 15 years,Builder Floors,1,Semi-Furnished,Ready to Move,North,5944507
Tambaram Mudichur Road,3,3,1125,828,Individual,New,New Construction,Builder Floors,1,Semi-Furnished,Under Construction,East,7480682
Sriperumbudur,2,2,1212,39911,Individual,New,New Construction,Builder Floors,0,Semi-Furnished,Ready to Move,East,11546019
Rajakilpakkam,3,3,1464,1042,Individual,New,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,8300463
Chettipunniyam,1,1,467,373,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,2555642
Perubakkam,2,2,900,790,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,5253670
Urapakkam,2,2,950,640,Individual,Resale,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,South,5313625
Madipakkam,2,2,753,592,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,South,4126848
Kundrathur,2,2,795,621,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,South,4049390
Tondiarpet,2,2,790,640,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,East,4560528
Anna Nagar,3,3,1480,1175,Individual,Resale,0 to 5 years,Builder Floors,2,Furnished,Ready to Move,North,12962101
Kolathur,3,3,1167,1708,Individual,Resale,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,6037695
Moolakadai,1,1,545,436,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,South East,2763297
Pallikaranai,2,2,690,708,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,North,2969478
