location,bedrooms,Bathrooms,area,carpet_area,ownership,sale_type,age_of_the_property,plot_type,floor,Furnishing,Status,Facing,Actual_Price
West Mambalam,3,3,1450,1100,Builder,New,0 to 5 years,Builder Floors,1,Unfurnished,Upcoming,East,8220926
Perugundi,3,3,1277,1530,Agent,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,8220926
Mylapore,2,2,600,696,Individual,New,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,South,3033039
Thiruvanmiyur,4,4,2935,2869,Individual,New,New Construction,Builder Floors,1,Furnished,Ready to Move,East,28755605
Thiruvalluvar Nagar,4,4,2710,1597,Individual,New,New Construction,Builder Floors,2,Furnished,Ready to Move,North,28755605
Adambakkam Thiruvallur Nagar,4,4,2710,1597,Individual,New,New Construction,Builder Floors,1,Furnished,Ready to Move,North,220000000
Saidapet,2,2,770,733,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,4421651
Perambur,2,2,1800,828,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,East,9168871
Perumbakkam,3,2,1427,1142,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,8220926
Nanmangalam,2,2,876,800,Individual,New,Under Construction,Builder Floors,2,Semi-Furnished,Under Construction,North,5783338
Urapakkam,2,2,1106,640,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,5340967
Manapakkam,2,2,964,621,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,5340967
Chrompet,2,2,820,805,Individual,New,New Construction,Builder Floors,2,Unfurnished,Ready to Move,East,5783338
Kovur,2,2,1032,880,Builder,New,New Construction,Builder Floors,1,Furnished,Ready to Move,South,5340967
Pallikaranai,2,2,1161,871,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,West,5340967
Varadharajapuram,1,1,610,595,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,South,3033039
Sreeperamadur,2,2,1200,1632,Builder,New,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,5340967
Oragadam,1,1,507,392,Builder,New,Under Construction,Builder Floors,1,Semi-Furnished,Ready to Move,East,3033039
Kolathur,3,2,2500,2135,Individual,New,New Construction,Builder Floors,1,Semi-Furnished,Ready to Move,North,37638712
Avadi,4,2,1200,1100,Individual,Resale,5 to 10 years,Builder Floors,1,Unfurnished,Ready to Move,West,6798035
Perambur,1,1,560,330,Builder,New,10 to 15 years,Builder Floors,2,Furnished,Ready to Move,North,5668733
Tondiarpet,2,2,1500,800,Builder,New,New Construction,Builder Floors,1,Furnished,Ready to Move,North,9168871
Omr,2,2,954,81500,Individual,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,5340967
Mogappair East,3,3,2200,1020,Individual,New,5 to 10 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,11605979
Thoraipakkam,2,2,1225,780,Individual,New,New Construction,Builder Floors,2,Semi-Furnished,Ready to Move,West,8005901
Kolapakkam,2,2,749,627,Builder,New,New Construction,Builder Floors,1,Semi-Furnished,Ready to Move,East,3207974
Keelkattalai,3,2,1270,1000,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,8220926
Kavankarai,3,2,1308,1082,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,East,8220926
Pallikaranai,4,3,1800,2000,Individual,Resale,5 to 10 years,Builder Floors,2,Furnished,Ready to Move,West,30497100
Kattupakkam,2,2,900,900,Individual,Resale,New Construction,Builder Floors,1,Furnished,Ready to Move,South,5340967
Virugambakkam,3,3,1329,1100,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,North,8220926
Kolathur,1,1,598,389,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,2406982
Thiruvanmiyur,2,2,700,604,Builder,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,East,3207974
Thoraipakkam,2,2,1092,780,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,5340967
Adambakkam,2,2,857,750,Individual,Resale,15 to 20 years,Builder Floors,1,Unfurnished,Ready to Move,East,4421651
Nandanam,3,3,1200,825,Individual,Resale,Above 20 years,Builder Floors,2,Furnished,Ready to Move,South,6798035
Oragadam,3,2,1158,1349,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,6798035
Chembarambakkam,2,1,480,480,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,3593155
K Nagar,2,2,600,592,Individual,Resale,15 to 20 years,Builder Floors,1,Semi-Furnished,Ready to Move,South,3593155
Porur,2,2,808,646,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,4421651
Omr,3,2,1572,1301,Builder,New,New Construction,Builder Floors,2,Unfurnished,Ready to Move,North,8722378
Guduvancheri,2,2,869,780,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,4421651
Madanandapuram,2,2,786,776,Individual,Resale,0 to 5 years,Builder Floors,2,Semi-Furnished,Ready to Move,North,4421651
Medavakkam,2,2,825,712,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,4421651
Virugambakkam,2,2,756,618,Individual,Resale,10 to 15 years,Builder Floors,1,Semi-Furnished,Ready to Move,North,4421651
Tambaram Mudichur Road,3,3,1125,828,Individual,New,New Construction,Builder Floors,1,Semi-Furnished,Under Construction,East,6798035
Sriperumbudur,2,2,1212,39911,Individual,New,New Construction,Builder Floors,0,Semi-Furnished,Ready to Move,East,5340967
Rajakilpakkam,3,3,1464,1042,Individual,New,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,8220926
